,CH10,CH9
1514,306,0
1515,309,1
1516,305,33
1517,307,82
1518,309,100
1519,315,121
1520,294,126
1521,279,122
1522,273,130
1523,253,130
1524,239,121
1525,237,127
1526,235,134
1527,240,130
1528,230,3412
1529,228,2377
1530,227,1526
1531,226,835
1532,227,254
1533,427,127
1534,807,120
1535,1170,116
1536,1414,119
1537,1587,110
1538,1708,101
1539,1779,110
1540,1834,96
1541,1450,103
1542,1118,110
1543,835,114
1544,660,117
1545,421,113
1546,271,116
1547,512,113
1548,107,316
1549,159,676
1550,148,979
1551,138,1242
1552,64,1456
1553,51,1626
1554,47,1763
1555,43,1854
1556,38,1478
1557,36,1142
1558,111,853
1559,30,630
1560,109,450
1561,103,304
1562,19,184
1563,133,140
1564,115,133
1565,263,125
1566,319,138
1567,0,134
1568,0,132
1569,0,131
1570,0,135
1571,0,121
1572,0,134
1573,0,131
1574,0,125
1575,0,124
1576,0,137
1577,0,133
1578,0,153
1579,0,242
1580,0,303
1581,123,357
1582,309,0
1583,318,0
1584,321,0
1585,318,0
1586,317,0
1587,315,0
1588,306,0
1589,304,0
1590,299,0
1591,303,0
1592,300,0
1593,308,0
1594,318,0
1595,338,0
1596,337,0
1597,277,154
1598,63,168
1599,0,163
1600,0,156
1601,0,154
1602,0,162
1603,0,163
1604,0,150
1605,0,153
1606,0,149
1607,0,156
1608,0,155
1609,84,168
1610,183,187
1611,262,196
1612,307,157
1613,311,0
1614,305,0
1615,305,0
1616,305,0
1617,306,0
1618,303,0
1619,309,0
1620,352,0
1621,658,0
1622,938,0
1623,1130,0
1624,1264,0
1625,1342,0
1626,1064,0
1627,875,0
1628,673,0
1629,520,0
1630,419,0
1631,317,0
1632,272,0
1633,263,14
1634,257,300
1635,262,524
1636,273,384
1637,284,493
1638,291,562
1639,297,703
1640,302,264
1641,305,40
1642,302,0
1643,300,0
1644,300,0
1645,301,0
1646,327,0
1647,378,0
1648,421,0
1649,455,0
1650,483,0
1651,505,0
1652,518,0
1653,512,0
1654,1092,71
